date,ticker,name,open,high,low,close,volume,amount
2026-07-13,028260,삼성물산,388000,394000,357000,361000,560265,207131000000.0
2026-07-13,032830,삼성생명,333000,340500,314500,326000,415904,134938000000.0
2026-07-13,373220,LG에너지솔루션,328000,346000,325500,328500,313372,105007000000.0
2026-07-13,005380,현대차,456500,482000,440500,444000,874265,399862000000.0
2026-07-13,009150,삼성전기,1564000,1564000,1261000,1289000,1321644,1793843000000.0
2026-07-13,005935,삼성전자우,193800,197300,175000,176900,4394790,803177000000.0
2026-07-13,402340,SK스퀘어,1400000,1400000,1154000,1161000,1096667,1341435000000.0
2026-07-13,000660,SK하이닉스,2113000,2142000,1839000,1845000,7951404,15488151000000.0
2026-07-13,005930,삼성전자,285000,292500,253000,254500,31882652,8455131000000.0
2026-07-14,091160,KODEX 반도체,130005,135260,121560,133200,3809436,492546000000.0
2026-07-14,062040,산일전기,168600,170900,155000,168600,400950,65812000000.0
2026-07-14,381180,TIGER 미국필라델피아반도체나스닥,47835,48975,47490,48860,2590868,125021000000.0
2026-07-14,005387,현대차2우B,198500,201000,187500,199800,237256,46295000000.0
2026-07-14,353200,대덕전자,113500,117400,106300,117400,1338301,149743000000.0
2026-07-14,064400,LG씨엔에스,68300,68800,64500,66000,1116087,74312000000.0
2026-07-14,161390,한국타이어앤테크놀로지,70700,70700,66500,68500,430863,29413809450.0
2026-07-14,047040,대우건설,16010,16290,15130,15830,3898790,61573000000.0
2026-07-14,488770,KODEX 머니마켓액티브,104915,104920,104915,104915,850843,89268000000.0
2026-07-14,180640,한진칼,136500,136700,111400,111400,235853,28216624050.0
2026-07-14,0167A0,SOL AI반도체TOP2플러스,18300,19060,17070,18830,40081399,729914000000.0
2026-07-14,352820,하이브,213000,213000,202000,206000,240540,49585000000.0
2026-07-14,007660,이수페타시스,99700,101700,94100,97900,1025107,100086000000.0
2026-07-14,122630,KODEX 레버리지,121170,128450,108820,123580,24937848,2995379000000.0
2026-07-14,005830,DB손해보험,160600,164000,157200,161000,351472,56633247650.0
2026-07-14,039490,키움증권,327000,328000,304000,308000,126893,39822533750.0
2026-07-14,379810,KODEX 미국나스닥100,29055,29205,28760,29150,8420878,243870000000.0
2026-07-14,278530,KODEX 200TR,39415,40440,37150,39680,5317086,208193000000.0
2026-07-14,379800,KODEX 미국S&P500,25455,25490,25220,25440,35021667,887815000000.0
2026-07-14,006260,LS,305000,306000,276500,292500,157076,45712393500.0
2026-07-14,133690,TIGER 미국나스닥100,194015,194955,192045,194530,3831374,740515000000.0
2026-07-14,102110,TIGER 200,108475,111945,102905,109790,7784849,841089000000.0
2026-07-14,396500,TIGER 반도체TOP10,36470,38115,34485,37645,17674981,648282000000.0
2026-07-14,326030,SK바이오팜,78600,79900,74000,74600,167842,12770000000.0
2026-07-14,003670,포스코퓨처엠,151900,153400,140600,144300,301350,44169000000.0
2026-07-14,459580,KODEX CD금리액티브(합성),1074590,1074595,1074590,1074595,591451,635568000000.0
2026-07-14,360750,TIGER 미국S&P500,27935,27960,27665,27910,51598991,1435683000000.0
2026-07-14,000880,한화,90700,92300,85800,88400,214168,18971000000.0
2026-07-14,069500,KODEX 200,108820,111880,102785,109720,30874798,3329571000000.0
2026-07-14,004170,신세계,602000,602000,530000,561000,160631,89414000000.0
2026-07-14,047050,포스코인터내셔널,51700,53200,49900,51300,720514,37011000000.0
2026-07-14,003230,삼양식품,1111000,1111000,1036000,1072000,60886,64804000000.0
2026-07-14,028050,삼성E&A,41100,41650,38300,40150,2492559,99409000000.0
2026-07-14,016360,삼성증권,109800,109900,101000,101900,577622,60323000000.0
2026-07-14,323410,카카오뱅크,23350,23850,22700,23100,1808786,42284000000.0
2026-07-14,443060,HD현대마린솔루션,197000,199000,186200,193500,145915,27987000000.0
2026-07-14,259960,크래프톤,240000,242000,229000,230000,114535,26973000000.0
2026-07-14,005940,NH투자증권,31300,31450,29700,29800,906793,27508000000.0
2026-07-14,003490,대한항공,25900,26700,25400,26500,4237651,110727000000.0
2026-07-14,010950,S-Oil,143500,143500,130100,131400,457497,61407000000.0
2026-07-14,010130,고려아연,1042000,1054000,1004000,1015000,18242,18737276500.0
2026-07-14,0126Z0,삼성에피스홀딩스,391000,434500,373500,384500,141219,56380000000.0
2026-07-14,011070,LG이노텍,659000,672000,603000,641000,391793,250381000000.0
2026-07-14,071050,한국금융지주,240000,241000,212000,216500,424107,92959053000.0
2026-07-14,015760,한국전력,34450,34900,33200,33950,2521592,85639000000.0
2026-07-14,000720,현대건설,99600,101500,94200,98000,561731,54934000000.0
2026-07-14,006800,미래에셋증권,39500,40100,37200,38750,2416975,93586000000.0
2026-07-14,030200,KT,52900,53200,51600,51600,433801,22766000000.0
2026-07-14,000150,두산,1244000,1268000,1160000,1217000,80622,97131000000.0
2026-07-14,086280,현대글로비스,188300,188600,176900,181700,230469,41989000000.0
2026-07-14,042700,한미반도체,203500,210000,190600,207500,943036,190462000000.0
2026-07-14,307950,현대오토에버,434000,437000,386000,407500,88943,36170000000.0
2026-07-14,009540,HD한국조선해양,343000,344000,323000,327000,346955,114136000000.0
2026-07-14,278470,에이피알,384000,384500,361500,375000,229614,85526000000.0
2026-07-14,005490,POSCO홀딩스,308500,311500,299000,303500,338650,103275000000.0
2026-07-14,272210,한화시스템,67100,67300,60900,62600,770182,48758476100.0
2026-07-14,000810,삼성화재,645000,648000,625000,628000,118703,75406748000.0
2026-07-14,047810,한국항공우주,143600,146100,136800,141100,421654,59615000000.0
2026-07-14,042660,한화오션,78100,79100,74000,76800,1711179,131184000000.0
2026-07-14,051910,LG화학,263000,264500,252000,255000,256951,66286000000.0
2026-07-14,035420,NAVER,187300,189400,181100,183200,943429,174308000000.0
2026-07-14,018880,한온시스템,3440,3485,3320,3400,4683107,15971000000.0
2026-07-14,086790,하나금융지주,134800,137600,129200,134000,1388091,186094000000.0
2026-07-14,005385,현대차우,197500,198000,188200,196200,176497,34170000000.0
2026-07-14,298040,효성중공업,2641000,2714000,2506000,2677000,52258,137305000000.0
2026-07-14,003550,LG,100000,100000,94600,96400,480324,46404000000.0
2026-07-14,066570,LG전자,185200,188400,175800,185400,1839592,335327000000.0
2026-07-14,018260,삼성에스디에스,191900,197400,186500,193000,284981,54841000000.0
2026-07-14,267260,HD현대일렉트릭,782000,810000,756000,797000,214510,167668000000.0
2026-07-14,035720,카카오,35050,35050,33700,33850,2127942,72729000000.0
2026-07-14,010120,LS ELECTRIC,186000,191100,176500,187700,1076404,198751000000.0
2026-07-14,267250,HD현대,200500,202000,186000,190100,162202,31471000000.0
2026-07-14,006400,삼성SDI,454000,454000,406000,427500,713172,302495000000.0
